name,team,position,school
Gabe Jackson,Oakland Raiders,Offensive Guard,Mississippi State
Tommy Kelly,Arizona Cardinals,Defensive End,Mississippi State
Cameron Lawrence,Dallas Cowboys,Linebacker,Mississippi State
Pernell McPhee,Baltimore Ravens,Linebacker,Mississippi State
Derek Sherrod,Green Bay Packers,Offensive Tackle,Mississippi State
Deontae Skinner,New England Patriots,Linebacker,Mississippi State
Darius Slay,Detroit Lions,Cornerback,Mississippi State
Chris White,New England Patriots,Linebacker,Mississippi State
K.J. Wright,Seattle Seahawks,Linebacker,Mississippi State
Tim Barnes,St. Louis Rams,Center,Missouri
Beau Brinkley,Tennessee Titans,Center,Missouri
Justin Britt,Seattle Seahawks,Offensive Tackle,Missouri
Chase Coffman,Tennessee Titans,Tight End,Missouri
Chase Daniel,Kansas City Chiefs,Quarterback,Missouri
Kony Ealy,Carolina Panthers,Defensive End,Missouri
Blaine Gabbert,San Francisco 49ers,Quarterback,Missouri
Andrew Gachkar,San Diego Chargers,Linebacker,Missouri
E.J. Gaines,St. Louis Rams,Cornerback,Missouri
Zaviar Gooden,Tennessee Titans,Linebacker,Missouri
Ziggy Hood,Jacksonville Jaguars,Defensive End,Missouri
Jeremy Maclin,Philadelphia Eagles,Wide Receiver,Missouri
William Moore,Atlanta Falcons,Strong Safety,Missouri
C.J. Mosley,Detroit Lions,Defensive Tackle,Missouri
Sheldon Richardson,New York Jets,Defensive End,Missouri
Justin Smith,San Francisco 49ers,Defensive End,Missouri
Brad Smith,Philadelphia Eagles,Wide Receiver,Missouri
Aldon Smith,San Francisco 49ers,Linebacker,Missouri
Jacquies Smith,Tampa Bay Buccaneers,Defensive End,Missouri
Sean Weatherspoon,Atlanta Falcons,Linebacker,Missouri
Allen Barbre,Philadelphia Eagles,Offensive Tackle,Missouri Southern State
Brandon Williams,Baltimore Ravens,Defensive End,Missouri Southern State
Clay Harbor,Jacksonville Jaguars,Tight End,Missouri State
Greg Zuerlein,St. Louis Rams,Place kicker,Missouri Western State
Miles Austin,Cleveland Browns,Wide Receiver,Monmouth (N.J.)
Chris Hogan,Buffalo Bills,Wide Receiver,Monmouth (N.J.)
Colt Anderson,Indianapolis Colts,Free Safety,Montana
Kroy Biermann,Atlanta Falcons,Linebacker,Montana
Dan Carpenter,Buffalo Bills,Place kicker,Montana
Brock Coyle,Seattle Seahawks,Linebacker,Montana
Trumaine Johnson,St. Louis Rams,Cornerback,Montana
Chase Reynolds,St. Louis Rams,Running Back,Montana
Jordan Tripp,Miami Dolphins,Linebacker,Montana
Jimmy Wilson,Miami Dolphins,Strong Safety,Montana
Dane Fletcher,Tampa Bay Buccaneers,Linebacker,Montana State
Mike Person,St. Louis Rams,Offensive Tackle,Montana State
Pierre Garcon,Washington Redskins,Wide Receiver,Mount Union
Cecil Shorts III,Jacksonville Jaguars,Wide Receiver,Mount Union
Marcus Harris,New York Giants,Wide Receiver,Murray State
Walt Powell,New York Jets,Wide Receiver,Murray State
Prince Amukamara,New York Giants,Cornerback,Nebraska
Zack Bowman,New York Giants,Cornerback,Nebraska
Josh Brown,New York Giants,Place kicker,Nebraska
Rex Burkhead,Cincinnati Bengals,Running Back,Nebraska
Will Compton,Washington Redskins,Linebacker,Nebraska
Jared Crick,Houston Texans,Defensive End,Nebraska
Lavonte David,Tampa Bay Buccaneers,Linebacker,Nebraska
Alfonzo Dennard,New England Patriots,Cornerback,Nebraska
Roy Helu,Washington Redskins,Running Back,Nebraska
Stan Jean-Baptiste,New Orleans Saints,Cornerback,Nebraska
Sam Koch,Baltimore Ravens,Punter,Nebraska
Spencer Long,Washington Redskins,Offensive Guard,Nebraska
Eric Martin,Cleveland Browns,Linebacker,Nebraska
Niles Paul,Washington Redskins,Tight End,Nebraska
Dominic Raiola,Detroit Lions,Center,Nebraska
Mohammed Seisay,Detroit Lions,Defensive Back,Nebraska
Matt Slauson,Chicago Bears,Offensive Guard,Nebraska
Daimion Stafford,Tennessee Titans,Strong Safety,Nebraska
Ndamukong Suh,Detroit Lions,Defensive Tackle,Nebraska
Mason Brodine,St. Louis Rams,Tight End,Nebraska-Kearney
Zach Miller,Chicago Bears,Tight End,Nebraska-Omaha
Chris Barker,New England Patriots,Offensive Guard,Nevada
Joel Bitonio,Cleveland Browns,Offensive Guard,Nevada
Isaiah Frey,Tampa Bay Buccaneers,Cornerback,Nevada
Virgil Green,Denver Broncos,Tight End,Nevada
James-Michael Johnson,Kansas City Chiefs,Linebacker,Nevada
Colin Kaepernick,San Francisco 49ers,Quarterback,Nevada
Brandon Marshall,Denver Broncos,Linebacker,Nevada
Rishard Matthews,Miami Dolphins,Wide Receiver,Nevada
Josh Mauga,Kansas City Chiefs,Linebacker,Nevada
Zach Sudfeld,New York Jets,Tight End,Nevada
Duke Williams,Buffalo Bills,Strong Safety,Nevada
Joe Hawley,Atlanta Falcons,Center,Nevada-Las Vegas
John Lotulelei,Jacksonville Jaguars,Linebacker,Nevada-Las Vegas
Jerry Rice Jr.,Washington Redskins,Wide Receiver,Nevada-Las Vegas
Frank Summers,Buffalo Bills,Fullback,Nevada-Las Vegas
Corey Graham,Buffalo Bills,Cornerback,New Hampshire
Byron Bell,Carolina Panthers,Offensive Tackle,New Mexico
Dillon Farrell,San Francisco 49ers,Center,New Mexico
Glover Quin,Detroit Lions,Free Safety,New Mexico
Jeremy Harris,Jacksonville Jaguars,Cornerback,New Mexico State
Davon House,Green Bay Packers,Cornerback,New Mexico State
Kyle Nelson,San Francisco 49ers,Center,New Mexico State
Davonte Wallace,Miami Dolphins,Offensive Guard,New Mexico State
Chris Williams,Chicago Bears,Wide Receiver,New Mexico State
Brandon Bostick,Green Bay Packers,Tight End,Newberry
Ron Parker,Kansas City Chiefs,Strong Safety,Newberry
Corey Washington,New York Giants,Wide Receiver,Newberry
Lardarius Webb,Baltimore Ravens,Cornerback,Nicholls State
Daniel Adongo,Indianapolis Colts,Linebacker,No College
Don Carey,Detroit Lions,Strong Safety,Norfolk State
Janoris Jenkins,St. Louis Rams,Cornerback,North Alabama
Preston Parker,New York Giants,Wide Receiver,North Alabama
Marvin Austin,Denver Broncos,Defensive Tackle,North Carolina
Giovani Bernard,Cincinnati Bengals,Running Back,North Carolina
Russell Bodine,Cincinnati Bengals,Center,North Carolina
Tre Boston,Carolina Panthers,Strong Safety,North Carolina
Zach Brown,Tennessee Titans,Linebacker,North Carolina
Bruce Carter,Dallas Cowboys,Linebacker,North Carolina
Jonathan Cooper,Arizona Cardinals,Offensive Guard,North Carolina
Quinton Coples,New York Jets,Linebacker,North Carolina
Shaun Draughn,San Diego Chargers,Running Back,North Carolina
Eric Ebron,Detroit Lions,Tight End,North Carolina
James Hurst,Baltimore Ravens,Offensive Tackle,North Carolina
Greg Little,Cincinnati Bengals,Wide Receiver,North Carolina
Kareem Martin,Arizona Cardinals,Defensive End,North Carolina
Hakeem Nicks,Indianapolis Colts,Wide Receiver,North Carolina
Julius Peppers,Green Bay Packers,Linebacker,North Carolina
Jabari Price,Minnesota Vikings,Cornerback,North Carolina
Robert Quinn,St. Louis Rams,Defensive End,North Carolina
Garrett Reynolds,Detroit Lions,Offensive Tackle,North Carolina
Da'Norris Searcy,Buffalo Bills,Strong Safety,North Carolina
Brandon Tate,Cincinnati Bengals,Wide Receiver,North Carolina
Ryan Taylor,Baltimore Ravens,Tight End,North Carolina
Cam Thomas,Pittsburgh Steelers,Defensive End,North Carolina
Greg Warren,Pittsburgh Steelers,Center,North Carolina
Sylvester Williams,Denver Broncos,Defensive Tackle,North Carolina
T.J. Yates,Atlanta Falcons,Quarterback,North Carolina
David Amerson,Washington Redskins,Cornerback,North Carolina State
Audie Cole,Minnesota Vikings,Linebacker,North Carolina State
Jerricho Cotchery,Carolina Panthers,Wide Receiver,North Carolina State
Mike Glennon,Tampa Bay Buccaneers,Quarterback,North Carolina State
T.J. Graham,New York Jets,Wide Receiver,North Carolina State
Steven Hauschka,Seattle Seahawks,Place kicker,North Carolina State
Nate Irving,Denver Broncos,Linebacker,North Carolina State
Dontae Johnson,San Francisco 49ers,Defensive Back,North Carolina State
Markus Kuhn,New York Giants,Defensive Tackle,North Carolina State
Ted Larsen,Arizona Cardinals,Offensive Guard,North Carolina State
Manny Lawson,Buffalo Bills,Defensive End,North Carolina State
Philip Rivers,San Diego Chargers,Quarterback,North Carolina State
J.R. Sweezy,Seattle Seahawks,Offensive Guard,North Carolina State
Stephen Tulloch,Detroit Lions,Linebacker,North Carolina State
Mario Williams,Buffalo Bills,Defensive End,North Carolina State
Earl Wolff,Philadelphia Eagles,Free Safety,North Carolina State
Willie Young,Chicago Bears,Defensive End,North Carolina State
Paul Cornick,Denver Broncos,Offensive Tackle,North Dakota State
Craig Dahl,San Francisco 49ers,Strong Safety,North Dakota State
Ramon Humber,New Orleans Saints,Linebacker,North Dakota State
Joe Mays,Kansas City Chiefs,Linebacker,North Dakota State
Billy Turner,Miami Dolphins,Offensive Tackle,North Dakota State
Freddie Martino,Atlanta Falcons,Wide Receiver,North Greenville Coll. SC (J.C
Lance Dunbar,Dallas Cowboys,Running Back,North Texas
Jamize Olawale,Oakland Raiders,Running Back,North Texas
Zach Orr,Baltimore Ravens,Linebacker,North Texas
Craig Robertson,Cleveland Browns,Linebacker,North Texas
Michael Bowie,Cleveland Browns,Offensive Tackle,Northeastern State (Okla.)
Vincent Jackson,Tampa Bay Buccaneers,Wide Receiver,Northern Colorado
Ken Bishop,Dallas Cowboys,Defensive Tackle,Northern Illinois
Larry English,Tampa Bay Buccaneers,Defensive End,Northern Illinois
Doug Free,Dallas Cowboys,Offensive Tackle,Northern Illinois
Jimmie Ward,San Francisco 49ers,Strong Safety,Northern Illinois
Austin Howard,Oakland Raiders,Offensive Guard,Northern Iowa
Chad Rinehart,San Diego Chargers,Offensive Guard,Northern Iowa
Brandon Dixon,Tampa Bay Buccaneers,Defensive Back,Northwest Missouri State
Brian Dixon,New Orleans Saints,Defensive Back,Northwest Missouri State
Corbin Bryant,Buffalo Bills,Defensive Tackle,Northwestern
Barry Cofield,Washington Redskins,Defensive Tackle,Northwestern
Mike Kafka,Tampa Bay Buccaneers,Quarterback,Northwestern
Sherrick McManis,Chicago Bears,Cornerback,Northwestern
Nick Roach,Oakland Raiders,Linebacker,Northwestern
Zach Strief,New Orleans Saints,Offensive Tackle,Northwestern
Corey Wootton,Minnesota Vikings,Defensive Tackle,Northwestern
Jeremy Lane,Seattle Seahawks,Cornerback,Northwestern State-Louisiana
Robert Blanton,Minnesota Vikings,Strong Safety,Notre Dame
Sergio Brown,Indianapolis Colts,Free Safety,Notre Dame
David Bruton,Denver Broncos,Strong Safety,Notre Dame
John Carlson,Arizona Cardinals,Tight End,Notre Dame
Jimmy Clausen,Chicago Bears,Quarterback,Notre Dame
Tyler Eifert,Cincinnati Bengals,Tight End,Notre Dame
Anthony Fasano,Kansas City Chiefs,Tight End,Notre Dame
Michael Floyd,Arizona Cardinals,Wide Receiver,Notre Dame
Jonas Gray,New England Patriots,Running Back,Notre Dame
Ryan Harris,Kansas City Chiefs,Offensive Tackle,Notre Dame
Robert Hughes,Arizona Cardinals,Running Back,Notre Dame
J.J. Jansen,Carolina Panthers,Center,Notre Dame
TJ Jones,Detroit Lions,Wide Receiver,Notre Dame
Kapron Lewis-Moore,Baltimore Ravens,Defensive End,Notre Dame
Zack Martin,Dallas Cowboys,Offensive Guard,Notre Dame
Zeke Motta,Atlanta Falcons,Free Safety,Notre Dame
Troy Niklas,Arizona Cardinals,Tight End,Notre Dame
Louis Nix III,Houston Texans,Defensive Tackle,Notre Dame
Theo Riddick,Detroit Lions,Running Back,Notre Dame
Trevor Robinson,San Diego Chargers,Center,Notre Dame
Kyle Rudolph,Minnesota Vikings,Tight End,Notre Dame
Prince Shembo,Atlanta Falcons,Linebacker,Notre Dame
Harrison Smith,Minnesota Vikings,Free Safety,Notre Dame
John Sullivan,Minnesota Vikings,Center,Notre Dame
Golden Tate,Detroit Lions,Wide Receiver,Notre Dame
Manti Te'o,San Diego Chargers,Linebacker,Notre Dame
Justin Tuck,Oakland Raiders,Defensive End,Notre Dame
Stephon Tuitt,Pittsburgh Steelers,Defensive Tackle,Notre Dame
Darrin Walls,New York Jets,Cornerback,Notre Dame
Chris Watt,San Diego Chargers,Offensive Guard,Notre Dame
Ian Williams,San Francisco 49ers,Defensive Tackle,Notre Dame
Sam Young,Jacksonville Jaguars,Offensive Tackle,Notre Dame
Jason Trusnik,Miami Dolphins,Linebacker,Ohio Northern
Mike Adams,Pittsburgh Steelers,Offensive Tackle,Ohio State
Will Allen,Pittsburgh Steelers,Strong Safety,Ohio State
Alex Boone,San Francisco 49ers,Offensive Guard,Ohio State
Philly Brown,Carolina Panthers,Wide Receiver,Ohio State
Bryant Browning,Pittsburgh Steelers,Offensive Guard,Ohio State
Chimdi Chekwa,Oakland Raiders,Defensive Back,Ohio State
Kurt Coleman,Kansas City Chiefs,Defensive Back,Ohio State
Nate Ebner,New England Patriots,Defensive Back,Ohio State
Ted Ginn Jr.,Arizona Cardinals,Wide Receiver,Ohio State
Johnathan Hankins,New York Giants,Defensive Tackle,Ohio State
Brian Hartline,Miami Dolphins,Wide Receiver,Ohio State
A.J. Hawk,Green Bay Packers,Linebacker,Ohio State
Daniel Herron,Indianapolis Colts,Running Back,Ohio State
Cameron Heyward,Pittsburgh Steelers,Defensive End,Ohio State
Santonio Holmes,Chicago Bears,Wide Receiver,Ohio State
Travis Howard,New York Giants,Cornerback,Ohio State
Carlos Hyde,San Francisco 49ers,Running Back,Ohio State
Malcolm Jenkins,Philadelphia Eagles,Free Safety,Ohio State
James Laurinaitis,St. Louis Rams,Linebacker,Ohio State
Corey Linsley,Green Bay Packers,Center,Ohio State
Nick Mangold,New York Jets,Center,Ohio State
Jake McQuaide,St. Louis Rams,Center,Ohio State
Jack Mewhort,Indianapolis Colts,Offensive Guard,Ohio State
Andrew Norwell,Carolina Panthers,Offensive Guard,Ohio State
Mike Nugent,Cincinnati Bengals,Place kicker,Ohio State
Ryan Pickett,Houston Texans,Defensive Tackle,Ohio State
DeVier Posey,Houston Texans,Wide Receiver,Ohio State
Bradley Roby,Denver Broncos,Cornerback,Ohio State
Dane Sanzenbacher,Cincinnati Bengals,Wide Receiver,Ohio State
Ryan Shazier,Pittsburgh Steelers,Linebacker,Ohio State
John Simon,Houston Texans,Linebacker,Ohio State
Rob Sims,Detroit Lions,Offensive Guard,Ohio State
Donte Whitner,Cleveland Browns,Strong Safety,Ohio State
TJ Carrie,Oakland Raiders,Cornerback,Ohio U.
Mike Mitchell,Pittsburgh Steelers,Free Safety,Ohio U.
Jordan Thompson,Detroit Lions,Tight End,Ohio U.
Dave Zastudil,Arizona Cardinals,Punter,Ohio U.
Frank Alexander,Carolina Panthers,Defensive End,Oklahoma
Sam Bradford,St. Louis Rams,Quarterback,Oklahoma
Justin Brown,Pittsburgh Steelers,Wide Receiver,Oklahoma
Ryan Broyles,Detroit Lions,Wide Receiver,Oklahoma
Quinton Carter,Denver Broncos,Strong Safety,Oklahoma
Chris Chester,Washington Redskins,Offensive Guard,Oklahoma
Jamell Fleming,Kansas City Chiefs,Defensive Back,Oklahoma
Dominique Franks,Baltimore Ravens,Defensive Back,Oklahoma
Jermaine Gresham,Cincinnati Bengals,Tight End,Oklahoma
James Hanna,Dallas Cowboys,Tight End,Oklahoma
Demontre Hurst,Chicago Bears,Cornerback,Oklahoma
Gabe Ikard,Tennessee Titans,Center,Oklahoma
Tony Jefferson,Arizona Cardinals,Strong Safety,Oklahoma
Lane Johnson,Philadelphia Eagles,Offensive Tackle,Oklahoma
Landry Jones,Pittsburgh Steelers,Quarterback,Oklahoma
Davin Joseph,St. Louis Rams,Offensive Guard,Oklahoma
Travis Lewis,Detroit Lions,Linebacker,Oklahoma
Phil Loadholt,Minnesota Vikings,Offensive Tackle,Oklahoma
Curtis Lofton,New Orleans Saints,Linebacker,Oklahoma
Gerald McCoy,Tampa Bay Buccaneers,Defensive Tackle,Oklahoma
Stacy McGee,Oakland Raiders,Defensive Tackle,Oklahoma
DeMarco Murray,Dallas Cowboys,Running Back,Oklahoma
Corey Nelson,Denver Broncos,Linebacker,Oklahoma
Adrian Peterson,Minnesota Vikings,Running Back,Oklahoma
Donald Stephenson,Kansas City Chiefs,Offensive Tackle,Oklahoma
Kenny Stills,New Orleans Saints,Wide Receiver,Oklahoma
Casey Walker,New England Patriots,Defensive Tackle,Oklahoma
Tress Way,Washington Redskins,Punter,Oklahoma
Trent Williams,Washington Redskins,Offensive Tackle,Oklahoma
Damien Williams,Miami Dolphins,Running Back,Oklahoma
Dan Bailey,Dallas Cowboys,Place kicker,Oklahoma State
Justin Blackmon,Jacksonville Jaguars,Wide Receiver,Oklahoma State
Dez Bryant,Dallas Cowboys,Wide Receiver,Oklahoma State
Perrish Cox,San Francisco 49ers,Cornerback,Oklahoma State
Justin Gilbert,Cleveland Browns,Cornerback,Oklahoma State
Corey Hilliard,Detroit Lions,Offensive Tackle,Oklahoma State
Kendall Hunter,San Francisco 49ers,Running Back,Oklahoma State
Charlie Johnson,Minnesota Vikings,Offensive Guard,Oklahoma State
Russell Okung,Seattle Seahawks,Offensive Tackle,Oklahoma State
Tyler Patmon,Dallas Cowboys,Defensive Back,Oklahoma State
Brandon Pettigrew,Detroit Lions,Tight End,Oklahoma State
Joseph Randle,Dallas Cowboys,Running Back,Oklahoma State
Antonio Smith,Oakland Raiders,Defensive Tackle,Oklahoma State
Josh Stewart,Tennessee Titans,Wide Receiver,Oklahoma State
Lane Taylor,Green Bay Packers,Offensive Guard,Oklahoma State
Brandon Weeden,Dallas Cowboys,Quarterback,Oklahoma State
Kevin Williams,Seattle Seahawks,Defensive Tackle,Oklahoma State
Brandon Bair,Philadelphia Eagles,Defensive End,Oregon
LeGarrette Blount,Pittsburgh Steelers,Running Back,Oregon
Jairus Byrd,New Orleans Saints,Free Safety,Oregon
Patrick Chung,New England Patriots,Strong Safety,Oregon
Kellen Clemens,San Diego Chargers,Quarterback,Oregon
Drew Davis,Atlanta Falcons,Wide Receiver,Oregon
Ed Dickson,Carolina Panthers,Tight End,Oregon
Taylor Hart,Philadelphia Eagles,Defensive End,Oregon
Josh Huff,Philadelphia Eagles,Wide Receiver,Oregon
Dion Jordan,Miami Dolphins,Defensive End,Oregon
Kyle Long,Chicago Bears,Offensive Guard,Oregon
Jeff Maehl,Philadelphia Eagles,Wide Receiver,Oregon
Casey Matthews,Philadelphia Eagles,Linebacker,Oregon
Terrance Mitchell,Chicago Bears,Defensive Back,Oregon
Haloti Ngata,Baltimore Ravens,Defensive Tackle,Oregon
Spencer Paysinger,New York Giants,Linebacker,Oregon
Eddie Pleasant,Houston Texans,Defensive Back,Oregon
Dante Rosario,Chicago Bears,Tight End,Oregon
Geoff Schwartz,New York Giants,Offensive Guard,Oregon
Adam Snyder,New York Giants,Offensive Tackle,Oregon
Jonathan Stewart,Carolina Panthers,Running Back,Oregon
De'Anthony Thomas,Kansas City Chiefs,Running Back,Oregon
Walter Thurmond III,New York Giants,Cornerback,Oregon
Max Unger,Seattle Seahawks,Center,Oregon
T.J. Ward,Denver Broncos,Strong Safety,Oregon
Darrion Weems,Dallas Cowboys,Offensive Tackle,Oregon
Brandon Williams,Carolina Panthers,Tight End,Oregon
Derek Anderson,Carolina Panthers,Quarterback,Oregon State
Brandon Browner,New England Patriots,Cornerback,Oregon State
Victor Butler,Indianapolis Colts,Linebacker,Oregon State
Brandin Cooks,New Orleans Saints,Wide Receiver,Oregon State
Scott Crichton,Minnesota Vikings,Defensive End,Oregon State
James Dockery,Carolina Panthers,Defensive Back,Oregon State
Dwan Edwards,Carolina Panthers,Defensive Tackle,Oregon State
Johnny Hekker,St. Louis Rams,Punter,Oregon State
Steven Jackson,Atlanta Falcons,Running Back,Oregon State
Andy Levitre,Tennessee Titans,Offensive Guard,Oregon State
Keenan Lewis,New Orleans Saints,Cornerback,Oregon State
Matt Moore,Miami Dolphins,Quarterback,Oregon State
Stephen Paea,Chicago Bears,Defensive Tackle,Oregon State
Jordan Poyer,Cleveland Browns,Cornerback,Oregon State
Rashaad Reynolds,Jacksonville Jaguars,Cornerback,Oregon State
Jacquizz Rodgers,Atlanta Falcons,Running Back,Oregon State
Markus Wheaton,Pittsburgh Steelers,Wide Receiver,Oregon State
Saalim Hakim,New York Jets,Wide Receiver,Palomar Coll. CA (J.C.)
NaVorro Bowman,San Francisco 49ers,Linebacker,Penn State
Brett Brackett,Tennessee Titans,Tight End,Penn State
Glenn Carson,Arizona Cardinals,Linebacker,Penn State
Jack Crawford,Dallas Cowboys,Defensive End,Penn State
Garry Gilliam,Seattle Seahawks,Offensive Tackle,Penn State
Robbie Gould,Chicago Bears,Place kicker,Penn State
Tamba Hali,Kansas City Chiefs,Linebacker,Penn State
Jordan Hill,Seattle Seahawks,Defensive Tackle,Penn State
Gerald Hodges,Minnesota Vikings,Linebacker,Penn State
DaQuan Jones,Tennessee Titans,Defensive Tackle,Penn State
Sean Lee,Dallas Cowboys,Linebacker,Penn State
Michael Mauti,Minnesota Vikings,Linebacker,Penn State
Matt McGloin,Oakland Raiders,Quarterback,Penn State
Jordan Norwood,Denver Broncos,Wide Receiver,Penn State
Jared Odrick,Miami Dolphins,Defensive Tackle,Penn State
Rich Ohrnberger,San Diego Chargers,Center,Penn State
Paul Posluszny,Jacksonville Jaguars,Linebacker,Penn State
Andrew Quarless,Green Bay Packers,Tight End,Penn State
Allen Robinson,Jacksonville Jaguars,Wide Receiver,Penn State
A.Q. Shipley,Indianapolis Colts,Center,Penn State
Devon Still,Cincinnati Bengals,Defensive Tackle,Penn State
Nathan Stupar,Atlanta Falcons,Linebacker,Penn State
Johnnie Troutman,San Diego Chargers,Offensive Guard,Penn State
John Urschel,Baltimore Ravens,Offensive Guard,Penn State
Cameron Wake,Miami Dolphins,Defensive End,Penn State
Stefen Wisniewski,Oakland Raiders,Center,Penn State
John Brown,Arizona Cardinals,Wide Receiver,Pittsburg State
Dom DeCicco,Minnesota Vikings,Linebacker,Pittsburgh
Aaron Donald,St. Louis Rams,Defensive Tackle,Pittsburgh
Larry Fitzgerald,Arizona Cardinals,Wide Receiver,Pittsburgh
Henry Hynoski,New York Giants,Fullback,Pittsburgh
Andy Lee,San Francisco 49ers,Punter,Pittsburgh
LeSean McCoy,Philadelphia Eagles,Running Back,Pittsburgh
Mike McGlynn,Kansas City Chiefs,Offensive Guard,Pittsburgh
Darrelle Revis,New England Patriots,Cornerback,Pittsburgh
Tom Savage,Houston Texans,Quarterback,Pittsburgh
Jabaal Sheard,Cleveland Browns,Linebacker,Pittsburgh
Devin Street,Dallas Cowboys,Wide Receiver,Pittsburgh
K'Waun Williams,Cleveland Browns,Defensive Back,Pittsburgh
Adam Hayward,Washington Redskins,Linebacker,Portland State
DeShawn Shead,Seattle Seahawks,Defensive Back,Portland State
Julius Thomas,Denver Broncos,Tight End,Portland State
Justin Bethel,Arizona Cardinals,Cornerback,Presbyterian
Mike Catapano,Kansas City Chiefs,Defensive End,Princeton
Caraun Reid,Detroit Lions,Defensive Tackle,Princeton
Cliff Avril,Seattle Seahawks,Defensive End,Purdue
Drew Brees,New Orleans Saints,Quarterback,Purdue
Bruce Gaston,Arizona Cardinals,Defensive Tackle,Purdue
Nick Hardwick,San Diego Chargers,Center,Purdue
Dennis Kelly,Philadelphia Eagles,Offensive Guard,Purdue
Ryan Kerrigan,Washington Redskins,Linebacker,Purdue
Greg Latta,Denver Broncos,Defensive End,Purdue
Mike Neal,Green Bay Packers,Linebacker,Purdue
Rob Ninkovich,New England Patriots,Defensive End,Purdue
Kyle Orton,Buffalo Bills,Quarterback,Purdue
Greg Orton,New England Patriots,Wide Receiver,Purdue
Kevin Pamphile,Tampa Bay Buccaneers,Offensive Tackle,Purdue
Shaun Phillips,Tennessee Titans,Linebacker,Purdue
Bernard Pollard,Tennessee Titans,Strong Safety,Purdue
Kory Sheets,Oakland Raiders,Running Back,Purdue
Kawann Short,Carolina Panthers,Defensive Tackle,Purdue
Anthony Spencer,Dallas Cowboys,Defensive End,Purdue
Stefan Charles,Buffalo Bills,Defensive Tackle,Regina (Canada)
Akiem Hicks,New Orleans Saints,Defensive End,Regina (Canada)
Jon Ryan,Seattle Seahawks,Punter,Regina (Canada)
James Casey,Philadelphia Eagles,Tight End,Rice
Phillip Gaines,Kansas City Chiefs,Cornerback,Rice
Vance McDonald,San Francisco 49ers,Tight End,Rice
Cheta Ozougwu,New Orleans Saints,Defensive End,Rice
Andrew Sendejo,Minnesota Vikings,Free Safety,Rice
Scott Solomon,Tampa Bay Buccaneers,Linebacker,Rice
Luke Willson,Seattle Seahawks,Tight End,Rice
Cooper Taylor,New York Giants,Safety,Richmond
Kerry Wynn,New York Giants,Defensive End,Richmond
Kenny Britt,St. Louis Rams,Wide Receiver,Rutgers
Kevin Brock,Cincinnati Bengals,Tight End,Rutgers
Marcus Cooper,Kansas City Chiefs,Cornerback,Rutgers
Anthony Davis,San Francisco 49ers,Offensive Tackle,Rutgers
Andrew DePaola,Tampa Bay Buccaneers,Center,Rutgers
Jonathan Freeny,Miami Dolphins,Linebacker,Rutgers
Khaseem Greene,Chicago Bears,Linebacker,Rutgers
Duron Harmon,New England Patriots,Strong Safety,Rutgers
Clark Harris,Cincinnati Bengals,Center,Rutgers
George Johnson,Detroit Lions,Defensive End,Rutgers
Jason McCourty,Tennessee Titans,Cornerback,Rutgers
Devin McCourty,New England Patriots,Free Safety,Rutgers
Logan Ryan,New England Patriots,Cornerback,Rutgers
Mohamed Sanu,Cincinnati Bengals,Wide Receiver,Rutgers
Tim Wright,New England Patriots,Tight End,Rutgers
Jeremy Zuttah,Baltimore Ravens,Center,Rutgers
Todd Davis,New Orleans Saints,Linebacker,Sacramento State
Jeff Heath,Dallas Cowboys,Strong Safety,Saginaw Valley State
Todd Herremans,Philadelphia Eagles,Offensive Guard,Saginaw Valley State
Jeff Janis,Green Bay Packers,Wide Receiver,Saginaw Valley State
Josh McCown,Tampa Bay Buccaneers,Quarterback,Sam Houston State
Cortland Finnegan,Miami Dolphins,Cornerback,Samford
Corey White,New Orleans Saints,Cornerback,Samford
Nat Berhe,New York Giants,Strong Safety,San Diego State
Aaron Brewer,Denver Broncos,Center,San Diego State
Vincent Brown,Oakland Raiders,Wide Receiver,San Diego State
Miles Burris,Oakland Raiders,Linebacker,San Diego State
Brice Butler,Oakland Raiders,Wide Receiver,San Diego State
Gavin Escobar,Dallas Cowboys,Tight End,San Diego State
Heath Farwell,Seattle Seahawks,Linebacker,San Diego State
Ronnie Hillman,Denver Broncos,Running Back,San Diego State
Lance Louis,Indianapolis Colts,Offensive Guard,San Diego State
Kassim Osgood,San Francisco 49ers,Wide Receiver,San Diego State
,Carolina Panthers,Cornerback,San Jose State
Duke Ihenacho,Washington Redskins,Defensive Back,San Jose State
James Jones,Oakland Raiders,Wide Receiver,San Jose State
Dwight Lowery,Atlanta Falcons,Free Safety,San Jose State
Chris Owens,Kansas City Chiefs,Cornerback,San Jose State
Keith Smith,Dallas Cowboys,Safety,San Jose State
Brent Grimes,Miami Dolphins,Cornerback,Shippensburg
John Kuhn,Green Bay Packers,Fullback,Shippensburg
Brandon Fusco,Minnesota Vikings,Offensive Guard,Slippery Rock
John Abraham,Arizona Cardinals,Linebacker,South Carolina
Antonio Allen,New York Jets,Cornerback,South Carolina
Jasper Brinkley,Minnesota Vikings,Linebacker,South Carolina
Jadeveon Clowney,Houston Texans,Linebacker,South Carolina
Jared Cook,St. Louis Rams,Tight End,South Carolina
Chris Culliver,San Francisco 49ers,Cornerback,South Carolina
Patrick DiMarco,Atlanta Falcons,Fullback,South Carolina
Bruce Ellington,San Francisco 49ers,Wide Receiver,South Carolina
